Investor name,Website,Linkedin,Individual LinkedIn,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Form Ventures,https://formventures.vc,https://www.linkedin.com/company/form-ventures,,"London, London WC2H 9JQ, GB",UK,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in UK based pre-seed and seed stage tech companies for which public policy and regulation matter. ,VC,"$250,000 ",
Venture Studio from Crisis,https://www.crisis.org.uk/get-involved/venture-studio/venture-studio/about,https://www.linkedin.com/showcase/venture-studio-from-crisis,,"66 Commercial St, London E1 6LT",UK,3. Early Revenue,"We invest in UK-based proptech, geospatial, and plantech startups that can tackle the causes or consequences of homelessness.",Corporate VC,"$20,000 ",
Calm/Storm Ventures,https://www.calmstorm.vc/,https://www.linkedin.com/company/calmstorm/,,"Frankenberggasse 13, Top 18, Wien, 1040, AT","USA,Canada,Germany,Austria,Switzerland,UK,Poland,France,Sweden,Spain,Israel,Portugal","2. Prototype,1. Idea or Patent,3. Early Revenue",We invest the Digital Health & Wellbeing space. Particularly we focus on projects tackling taboo subjects that once were deemed too sensitive to discuss but that have huge potential markets.,VC,"$100,000 ",
Athenian Capital,https://athenian.capital,https://www.linkedin.com/company/athenianvc,,"245 First Street
Riverview II, Floor 18
Cambridge, Massachusetts 02142
United States","USA,UK,Germany,Switzerland,France,Israel,Singapore","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in disruptive innovators building the infrastructure and services critical to the development and adoption of web3.,VC,"$250,000 ",
TA Ventures,https://taventures.vc/,https://www.linkedin.com/company/ta-ventures,,"Creative States Arsenal Kyiv, UA","USA,Israel,Canada,Ukraine,Germany,Austria,Switzerland,Spain,UK,Poland,Netherlands,Belgium,France,Portugal,Italy,Belarus","3. Early Revenue,2. Prototype,4. Scaling","We invest in startups in Europe and North America at (Pre-)Seed and Series A, alongside high-profile co-investors, across a wide range of tech sectors. We prefer sectors such as Enterprise Software, Consumer, Mobility and Digital Health.",VC,"$100,000 ",
Monozukuri Ventures,https://monozukuri.vc/,https://www.linkedin.com/company/monozukuriventures,,"Kyoto Research Park, 93 Chudoji Awata-cho, Shimogyo-ku, Kyoto, 600-8815, Japan","Japan,USA,Canada","2. Prototype,3. Early Revenue","We invest in 10-15 hardware startups per year, with a typical check ranging from USD 100K to 300K at first, with a chance to follow investment up to USD 1M accumulate. 
We’re focused on funding entrepreneurs in the fastest growing industries: robotics, AI, clean energy, wearables, space tech, IoT, healthcare, smart home and more.
We provide financing services such as equity investment and debt financing. For example, we invest in common stock, preferred stock, convertible note, SAFE and KISS.
We make investments to help our startup founders cover prototyping fees. We co-invest with incubators, accelerators and VCs, and have an efficient due diligence process that will result in funding a first round of manufacturing.
You can raise capital with us if you are a seed/early stage hardware startup incorporated either in the US, Canada or in Japan.",VC,"$100,000 ",
Psion Partners,https://www.psion.vc/,https://www.linkedin.com/company/psion-partners,,"5 Maxclif House, 5-7 Tottenham Street, London, W1T 2AG, GB","France,Germany,Italy,Belgium,Ireland,Austria,Israel,Luxembourg,Netherlands,Spain,Sweden,Switzerland,UK,USA","3. Early Revenue,4. Scaling,5. Growth","We invest in digital DeepTech, including SpaceTech, DroneTech and Mobility solutions for the new emerging era of 3D Urban Mobility",VC,"$100,000 ",
Flint Capital,https://flintcap.com/,https://www.linkedin.com/company/flintcapital/,,"50 Milk street, Boston, MA 02110, United States","USA,Canada,Israel,Netherlands,UK","3. Early Revenue,4. Scaling","We invest in early-stage startups in cyber security, Digital Health, Fintech, enterprise software and more. Seed stage and Series A. Product-market fit is a must.",VC,"$500,000 ",
Skystar Capital,https://skystar.vc/,https://www.linkedin.com/company/skystar-capital-indonesia,,"Jakarta, Indonesia","Indonesia,Singapore,Philippines,Vietnam,Malaysia","3. Early Revenue,2. Prototype","We invest in fintech, healthtech, consumer-tech, and upcoming tech (e.g. blockchain, etc.)",VC,"$200,000 ",
TechAviv Founder Partners,https://fund.techaviv.com,https://www.linkedin.com/company/techaviv,,"121 Menachem Begin Rd., Tel Aviv, IL","USA,Israel,UK","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in the world’s best Israeli founders.

TechAviv Founder Partners is a pre-seed venture fund backed and powered by 150 of the world’s most successful company builders. Together we help the world's elite Israeli founders build tomorrow's iconic companies.",VC,"$500,000 ",
High Alpha,https://highalpha.com/,https://www.linkedin.com/company/high-alpha/,,"830 Massachusetts Ave Suite 1500 Floor 4, Indianapolis, IN 46204","USA,Canada","3. Early Revenue,4. Scaling","We invest in B2B SaaS. 

High Alpha is an Indianapolis-based venture studio, focusing on company creation and scale in the B2B SaaS space. High Alpha Capital is where we make external investments (outside of our studio) from our $110M fund into companies with sales and operations in the US & Canada, raising pre-seed through Series B financings, looking for average check sizes between $1-5M. Within B2B SaaS, we're generally agnostic, but have quite a few investments in ecommerce, supply chain & logistics, future of work, enterprise software and more. We typically like to lead, but will also co-invest or invest as part of a syndicate. ",VC,"$1,000,000 ",
People Ventures,https://peopleventures.vc/,https://www.linkedin.com/company/hipeopleventures/,,"Erik Husfeldts Vej 7, 2630 Taastrup, Denmark","Denmark,Sweden,Norway,Finland","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Nordic-based founders with a soft focus on Digital Health and B2B SaaS,VC,"$250,000 ",
Blockrocket,https://www.blockrocket.io/,https://www.linkedin.com/company/blockrocket-io/,,"Taunusanlage 8, 60329 Frankfurt am Main, Germany","Germany,Austria,Switzerland,France,Luxembourg,UK,USA,Canada,Spain,Portugal,Singapore,UAE,Denmark,Belgium,Netherlands","2. Prototype,1. Idea or Patent,3. Early Revenue",We invest in early-stage blockchain startups. ,VC,"$100,000 ",
PsyMed Ventures,https://psymed.ventures/,https://www.linkedin.com/company/psymed-ventures,,"Los Angeles, California, USA","USA,Canada,UK,Germany,Israel,Mexico,Netherlands","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in psychedelic medicine and mental health tech.,VC,"$500,000 ",
Primo Ventures,https://www.primo.vc,https://www.linkedin.com/company/primomiglio-sgr/,https://www.linkedin.com/in/niccolosanarico,"Viale Majno 18, 20129 Milano, Italy","Italy,UK,USA,Spain,Portugal,France,Ireland,Germany,Switzerland,Sweden","2. Prototype,3. Early Revenue","We invest in SaaS and ""new retail"" startups with some product/market validation at the seed/early stage in Italy. We co-invest in early-stage SaaS and ""new retail"" startups from other countries. ",VC,"$500,000 ",
SoGal Ventures,https://sogalventures.com,https://www.linkedin.com/company/sogal-ventures,https://www.linkedin.com/in/egalbut/,"New York, NY USA ","USA,Canada,China,Singapore","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest globally in diverse founding teams revolutionizing how the next generations live, work & stay healthy. ",VC,"$250,000 ",
irrvrntVC,https://www.irrvrnt.com/,https://www.linkedin.com/company/irrvrntvc/,,"New York, USA","USA,Canada","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in DTC, AdTech, and Next Gen Commerce. We invest in founders with strong founder-market fit, building in large industries.",VC,"$150,000 ",
OpenVC Test,https://openvc.app,https://www.linkedin.com/company/71802609/,https://www.linkedin.com/in/marcus-bindseil/,USA,"Canada,USA,France,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in nothing : this is a test profile for testing purposes only. ,Other,"$100,000 ",
Mempool Ventures,https://www.mempool.ventures,https://www.linkedin.com/company/mempool-ventures,,"Dubai Silicon Oasis, DDP, Building A2, Dubai-UAE","Afghanistan,Angola,Andorra,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Algeria,Belarus,Barbados,Belgium,Belize,Benin,Bhutan,Botswana,Bosnia-H,Brunei,Brazil,Burkina Faso,Bulgaria,Cabo Verde,Cambodia,Cameroon,Burundi,Bangladesh,Canada,Chile,Colombia,Comoros,Congo (Congo-Brazzaville),Chad,Albania,Central African Republic,Costa Rica,Côte d'Ivoire,Croatia,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Equatorial Guinea,El Salvador,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Fiji,Finland,Ethiopia,France,Gambia,Gabon,Germany,Georgia,Ghana,Greece,Grenada,Guatemala,Cuba,Iceland,Ireland,Israel,Italy,Jamaica,Japan,Monaco,New Zealand,Netherlands,Philippines,Spain,Saudi Arabia,USA,UK,UAE,Norway,Switzerland,Singapore,Sweden,Hong Kong,Latvia,Lithuania",1. Idea or Patent,We invest in breakthrough tech at its genesis stage,VC,"$10,000 ",
Cibersons Ventures,https://cibersons.com/,https://www.linkedin.com/company/cibersons-group,,"Asuncion, Paraguay","Paraguay,Argentina,Brazil,USA,Mexico,Costa Rica,El Salvador,Bolivia,Peru,Colombia,Chile,Singapore,Uruguay,Nicaragua,Ecuador,Guatemala,Venezuela,Dominican Republic","3. Early Revenue,4. Scaling,2. Prototype","We invest in emerging technologies and emerging economies. Sector agnostic, mostly from Latam and US. ",VC,"$20,000 ",
BFG Blockchain Founders Group,https://en.blockchain-founders.io/,https://www.linkedin.com/company/blockchain-founders,,"Quaderstrasse 6, 9494 Schaan, Liechtenstein","Germany,Austria,Switzerland,Belgium,USA,UK,Netherlands,Portugal,Spain,France,Luxembourg,Italy,Poland,Liechtenstein,Denmark,Norway,Canada,Ireland","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in early-stage Blockchain startups (Pre-Seed and Seed).,VC,"$100,000 ",
Cubit Ventures,https://www.cubit.vc,https://www.linkedin.com/company/cubit-ventures,,"Delaware, USA",Egypt,"3. Early Revenue,4. Scaling",We invest in tech startups in Egypt; one of the fastest growing economies in the world and undergoing a massive digital transformation.,VC,"$100,000 ",
Key Ventures,https://kventures.vc,https://www.linkedin.com/company/k-ventures,,"16 rue de Nassau, 2313 Luxembourg","France,Luxembourg,UK,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage tech companies.

#1 : We focus on early stage investing

Maximum round size: 500,000 EUR

Maximum valuation: 2,000,000 EUR

Investment size: 50,000-300,000 EUR
#2 : We love (calculated) risk

We invest early

We love technical products with high entry barriers
#3 : We bring more than capital

Our capital

Our experience

Our expertise

Our network
#4 : We are flexible

We invest individually or as a syndicate depending on the situation
",Angel network,"$60,000 ",
3CC Third Culture Capital,https://3cc.io,https://www.linkedin.com/company/thirdculturecapital/,,"1 Washington Mall, Suite 1151, Boston, MA 02108, United States","USA,France,Canada,Vietnam","3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent",We invest in diverse founders who innovate at the intersection of culture and healthcare delivery.,VC,"$250,000 ",
Capchase,https://capchase.com,https://www.linkedin.com/company/capchase/,,"New York, USA","USA,Spain,Denmark,UK,Sweden,Netherlands,Canada,Finland,Belgium","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We finance post-revenue startups with non-dilutive funding. 

We offer 3 products: 
- GROW: 60% of your ARR upfront to fund your growth
- EXTEND: Buy now, pay later. Spread large expenses
out over time.
- EARN: Earn 3.00% on your idle cash and  reduce your cost of capital.",Revenue-based,,
Pipe,https://pipe.com,https://www.linkedin.com/company/pipetechnologies/,,"370 NW 27th St, Miami, Florida 33127, US","USA,UK","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We finance post-revenue companies with non-dilutive funding. Typical use cases include SaaS, D2C, and Service agencies (consulting, staffing...) with a recurring model.",Revenue-based,"$5,000 ",
Keen Venture Partners,https://www.keenventurepartners.com/,https://www.linkedin.com/company/keen-venture-partners/,,"Vijzelstraat 68, Amsterdam, North Holland 1017, NL","Netherlands,Germany,UK,France,Spain,Portugal,Switzerland","3. Early Revenue,4. Scaling",We invest in European scale-ups at the Series A and Series B stage with €1M+ ARR,VC,"$6,000,000 ",
Accelerate Venture Partners,https://www.avpict.com/,https://www.linkedin.com/company/accelerate-venture-partners,,"245 N. Waco, Ste# 230A Wichita, KS 67202 USA",USA,"3. Early Revenue,4. Scaling","We invest in early-stage, high-growth companies in Wichita and the Midwest.",Angel network,"$100,000 ",
Omnes,https://www.omnescapital.com/en/businesses/venture-capital/,https://www.linkedin.com/company/omnes-capital/,,"37-41, rue du rocher, Paris, 75008, FR","Belgium,Austria,Czech Republic,Denmark,France,Portugal,Germany,Italy,Spain,Netherlands,Poland,Hungary","3. Early Revenue,4. Scaling","We invest in European deeptech companies. We typically invest 3 to 5M€ in 6 to 20M€ round. Deeptech companies (ie – advanced materials, components, systems, software). Strong appetence for B2B business models. Europe. (outside EU only with a strong bias, with smaller tickets).",VC,"$4,000,000 ",
Dorm Room Fund,https://dormroomfund.com/,https://www.linkedin.com/company/dorm-room-fund/,,"1 Broadway, Cambridge, Massachusetts 02114, US",USA,"2. Prototype,3. Early Revenue","We invest in student (or recent grad) -run companies incorporated in the US. Our companies typically have a live product and existing customer traction. We use the same vehicle for all of our investments — a $40,000 SAFE.",VC,"$40,000 ",
K9 Ventures,https://www.k9ventures.com/,https://www.linkedin.com/company/k9-ventures/,,"Palo Alto, CA",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Pre-Seed stage companies founded by technical founders that are building either radically new technology or opening/scaling a new market. We like to be the first money in into a company and then work with the company to figure out and build the business.,VC,"$100,000 ",
SuperCharger Ventures,https://www.superchargerventures.com/,https://www.linkedin.com/company/supercharger-ventures,,"London, UK","UK,Hong Kong,USA,Singapore,India,Brazil,UAE,Finland,France,Iceland,Sweden,Switzerland,Saudi Arabia,Qatar,Canada,Belarus,Russia,Ukraine,Italy,Greece,Spain,Portugal,Belgium,Kuwait,Denmark,Czech Republic,Egypt,Kazakhstan,Japan,Vietnam,Indonesia,Laos,Mexico,Lithuania,Estonia,Latvia,Norway,Colombia,Georgia,Germany,Hungary,Israel,Ireland,Turkey,South Korea,Albania,Algeria,Argentina,Armenia,Australia,Austria,Bangladesh,Cyprus,El Salvador,Jordan,Kenya,Nigeria,Pakistan","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in EdTech companies globally, in all verticals. Our 12-week accelerator program helps Seed / Series A companies scale and expand globally.","Incubator, Accelerator","$50,000 ",
Tiburon,https://tiburon.de/,https://www.linkedin.com/company/tiburon-unternehmensaufbau-gmbh,,"Theresienstrasse 40, 80333 Munich, Germany","Germany,Switzerland,Austria,USA,UK,Spain,France,Belgium,Netherlands,Denmark,Sweden,Finland,Norway","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in exceptional founders on the basis of qualitative factors such as a strong team-market-fit (more than one founder with an “unfair” advantage in the market/industry), capital efficiency, high trustworthiness, significant skin in the game and potential synergies with our existing portfolio. Our areas of expertise are company building & internationalization, B2B SaaS, ecommerce, FinTech, PropTech, meta platforms, media, mobile and communities.",VC,"$60,000 ",
Atanova Ventures,https://atanova.com/,https://www.linkedin.com/company/atanova,,"Çınarlı, 1572. Sk. No:33, 35110 Konak/İzmir Withco, 35110 Konak/İzmir/Turkey","Turkey,USA","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in MarketPlaces, Fintech, Games, Proptech, Health Tech, Energy, Vegan Food, Edtech and Recycling ventures have priority at Atanova Ventures.",VC,"$25,000 ",
Biss Capital,https://www.facebook.com/102902038246687/posts/389322519604636/?app=fbl,https://www.linkedin.com/posts/biss-capital_astuces-bisscapital-leveedefonds-activity-6853638365732982784-rjZt,,Awendje/Libreville,Gabon,3. Early Revenue,Investisseurs,Startup studio,$0 ,
Richmond View Ventures,https://rvv.tv,https://www.linkedin.com/company/richmond-view-ventures-gmbh/,https://www.linkedin.com/in/maximilian-fleitmann/,Mehringdamm 55 -  10961 Berlin,"USA,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in SaaS & DTC companies that have a strong founding team, a scalable customer acquisition process and in the best case already first revenues.",VC,"$10,000 ",
Proeza Ventures,https://www.proezaventures.com/,https://www.linkedin.com/company/proezaventures/,https://www.linkedin.com/in/ceciliaglzcorral," Constitución 405, Centro, 64000 Monterrey, N.L.","USA,Canada,Mexico,Chile,Colombia,Argentina,France,Israel,Germany,Spain,Paraguay,Uruguay,Peru,Italy,UK,Finland,Sweden,Norway,Belgium,Netherlands,Switzerland","3. Early Revenue,4. Scaling",We invest in mobility-related startups. ,Corporate VC,"$500,000 ",
Moonfire Ventures,https://www.moonfire.com/,https://www.linkedin.com/company/moonfire/,,"Mortimer House, 37-41 Mortimer St, London W1T 3JH","UK,Spain,Israel,Finland,Sweden,Serbia,USA,Denmark,France,Germany,Iceland","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in European pre-seed and seed companies within the future of work, capital & finance (including web3 and DeFi), gaming and community and health & wellbeing. We look for companies that fit our golden triangle: they provide greater access, efficiency and service-quality. ",VC,"$100,000 ",
Exome Asset Management,https://www.ExomeAsset.com,https://www.linkedin.com/company/exome-asset-management/,,"444 Madison Ave, New York, US","USA,China,South Korea,UK,Brazil,Hong Kong,Japan,Taiwan,Sweden","5. Growth,6. Pre-IPO",We invest in global healthcare companies ,Public fund,$0 ,
ECBF European Circular Bioeconomy Fund,https://www.ecbf.vc/,https://www.linkedin.com/company/european-circular-bioeconomy-fund/,https://www.linkedin.com/in/hakankaran/,"Poppelsdorfer Allee 17 53115 Bonn, Germany","Albania,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Moldova,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,Israel,Tunisia,Turkey","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in growth-stage companies in the bioeconomy sector that are at technology readiness levels from 6 to 9 (i.e., the underlying technology at least demonstrated in a relevant environment).",VC,"$3,000,000 ",
KK39 Ventures,https://www.weehur.com.sg/,https://www.linkedin.com/company/wee-hur-capital-pte-ltd/,,"39 Kim Keat Road , Singapore, Singapore 328814, SG","Singapore,Thailand,Indonesia,Malaysia,Vietnam,Australia,New Zealand","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in scalable businesses that provide solutions to either improve the lives of many or bring about efficiencies to consumers/businesses. Business that are synergistic to our core business of construction, development and student accommodation are extremely welcomed.",Corporate VC,"$50,000 ",
Ninepointfive (aka 9.5 Ventures),https://www.ninepointfive.vc/,https://www.linkedin.com/company/ninepointfive/,,"Van Diepenbeekstraat 8, 2018 Antwerp Belgium","Belgium,Netherlands,Germany,UK,Spain,Italy,France,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest together with corporates to take tech-based startups from pre-seed funding to maturity. A trusted partner with brands like Beiersdorf, Telenet and Agfa, Ninepointfive helps founders deploy the inherent value of corporate acceleration.
The Ninepointfive proprietary methodology offers speed, growth, value, and skin in the game. 
Fully engaged and focused, with a positive and pragmatic approach. This is ninepointfive.",VC,"$50,000 ",
MediaTech Ventures,https://mediatech.ventures,https://www.linkedin.com/company/mediatech-ventures,,"5323 Levander Loop, Austin, Texas 78702, US","USA,Israel,Italy,Colombia,Chile,China,Mexico,Taiwan,UK,Ireland,France,Belgium,Canada","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in innovation in media through economic development funds and programs for founders and startups growing into new markets.,"Incubator, Accelerator",$0 ,
Kazipet Capital,https://www.linkedin.com/in/sandeepsankineni/,https://www.linkedin.com/in/sandeepsankineni/,,"Bethesda, MD, USA","USA,India","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest at early stage - Diversified portfolio,Other,"$25,000 ",
4impact,https://www.4impact.vc/,https://www.linkedin.com/company/4impactvc/,,"The Hague, Netherlands","Netherlands,Germany,Switzerland,Austria,Sweden,Denmark,Norway,Finland,UK","2. Prototype,3. Early Revenue","We invest in European software startups that achieve tangible positive impact in environment, health, or inclusion.",VC,"$500,000 ",
MIP Milano Investment Partners SGR,http://www.milanoinvestment.com,https://www.linkedin.com/company/milano-investment-partners/,,"Via Mozart, 2, Milan, Lombardy 20122, IT","USA,France,Germany,Italy,Spain","3. Early Revenue,4. Scaling",We invest in startups with 2 funds: - Series A+ consumer/D2C/DNVB/ecommerce/food/retail companies - Deeptech seed to Series A,VC,"$500,000 ",
Courage Ventures,,,,"Helsinki, Finland","Estonia,Finland,Latvia,Lithuania","2. Prototype,3. Early Revenue",We invest in digital health startups at pre-seed and seed stage,VC,"$200,000 ",
DataPower Ventures,https://www.datapower.vc,https://www.linkedin.com/company/datapower-ventures/,,"211 West 56 street, New York, New York 10019, US","USA,Canada","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in US-based data-powered startups that build for data, machine learning, or AI-powered solutions.",VC,"$100,000 ",
Dexter Angels,https://www.dexterangels.com,https://www.linkedin.com/company/dexter-angels/,,"Mumbai, Maharashtra 400070, IN",India,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in early-stage Indian startups.,Angel network,"$50,000 ",
Innopact,https://www.innopact.vc/,https://www.linkedin.com/company/innopact-vc/,,Singapore,"India,Mexico,Bangladesh,Colombia,Philippines,USA,Singapore,UK","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in audacious entrepreneurs driving high-impact technology innovation across emerging markets. 

The biggest venture returns in the next decade will come from relentless innovation in business models - to successfully target underserved customers at scale.

Innopact is an angel syndicate dedicated to capturing the 'emergent consumer' technology opportunity across emerging markets. We are
- technology-centric
- sector-agnostic
- entrepreneur-focused
- partners - not just investors
As early-stage investors, our approach is simple = find and win early-stage deals where there's a Large space x Great team x Right timing x 100x impact potential",VC,"$50,000 ",
840 Venture Partners,https://840vp.com/,https://www.linkedin.com/company/840venturepartners/,,"220 East 23rd St, Ste 400, NY NY 10016","Brazil,USA,Canada,Mexico,UK,Spain,Italy,France","3. Early Revenue,4. Scaling,5. Growth","We invest in two verticals:
Fintech (b2b, b2c, opening banking, credit underwriting, p2p lending, defi, metaverse) - applications, ideas, missions that will make the world a better, more equitable place for our kids
Future of Work - (metaverse, AI, ML, remote work) ideas that allow us to work smarter.  ",VC,"$100,000 ",
Designer Fund,https://www.designerfund.com/,https://www.linkedin.com/company/designer-fund/,,"548 Market St PMB 43835, San Francisco, CA 94104",USA,"2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in founders looking to improve the world with design.,VC,"$350,000 ",
ISX,https://www.ideastockx.com/,https://www.linkedin.com/company/idea-stock-exchange,,"6 Hodson Ave, Alex Park, Harare, Zimbabwe","Angola,Burkina Faso,Côte d'Ivoire,Botswana,Ghana,Kenya,Nigeria,Zimbabwe,Zambia,Rwanda,Uganda,South Africa,Malawi,Namibia,Tanzania,Egypt,Tunisia","3. Early Revenue,4. Scaling,1. Idea or Patent,2. Prototype",We invest in Africa-based startups solving Africa’s problems through adding a layer of tech business model on top of brick and mortar businesses,VC,"$20,000 ",
Ajim Capital,https://www.ajimcapital.com/,https://www.linkedin.com/company/ajimcapital,,"Austin, TX","South Africa,Nigeria,Egypt,Kenya,Ghana,Cameroon,Côte d'Ivoire,Senegal,Zimbabwe,Rwanda",3. Early Revenue,We invest in pre-seed and seed tech startups based in Sub-Saharan Africa.,VC,"$25,000 ",
The Ganesha Lab,https://theganeshalab.com,https://www.linkedin.com/company/theganeshalab/,,"Calle Los Militares 4611, Piso 2, Las Condes, Santiago Metropolitan 7550000, CL","Chile,Argentina,Brazil,Uruguay,Colombia,Venezuela,Paraguay,Bolivia,Peru,Mexico,Costa Rica","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in early-stage biotech startups from Latin America with the potential and vision to generate global impact.,"Incubator, Accelerator",$0 ,
dRx Capital,https://drxcapital.com/,https://www.linkedin.com/company/drxcapital/,,USA,"USA,Switzerland,UK","3. Early Revenue,4. Scaling,5. Growth","We invest in digital health, pharma services IT. Series A+. ",VC,"$4,000,000 ",
SCV Second Century Ventures,https://www.scv.vc,https://www.linkedin.com/company/second-century-ventures,,"430 N Michigan Ave, Chicago, IL 60611, United States","USA,Australia,Canada,UK","5. Growth,4. Scaling,6. Pre-IPO,3. Early Revenue","We invest in early to mid-stage technology companies that will drive industry growth, enable new usage models and advance industry standards. SCV prefers SaaS companies generally focused on big data applications, digital media, fintech and business services that can span multiple verticals and geographies.",Corporate VC,"$1,000,000 ",
Reach Ventures,https://nar-reach.com/,https://www.linkedin.com/company/nar-reach-/,,"430 N Michigan Ave, Chicago, IL 60611, United States","USA,Australia,Canada,UK,Germany,Spain,France,Singapore","3. Early Revenue,4. Scaling,5. Growth","We invest in technology that brings innovation, efficiency, and value to the real estate vertical and its members. REACH Ventures operates the award winning NAR REACH scale-up program in the US, Canada, UK and Australia.","Incubator, Accelerator","$100,000 ",
Rally Cap Ventures,https://rallycapventures.com/,https://www.linkedin.com/company/rallycapventures,,"San Francisco, CA","Mexico,Brazil,Colombia,Chile,Argentina,Nigeria,South Africa,Ghana,Egypt,Senegal,Kenya,Bangladesh,India,Indonesia,Pakistan","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in fintech infrastructure, mostly B2B APIs",VC,"$100,000 ",
Swanlaab Venture Factory,https://swanlaab.com/,https://www.linkedin.com/company/swanlaab-venture-factory/,,"Ctra. Fuencarral a Alcobendas, km 3,8, Madrid, Madrid 28108, ES",Spain,"3. Early Revenue,4. Scaling",We invest in Software Enterprise (B2B) with a strong innovation in technology. Lead investors in late-seed and early stage.,VC,"$500,000 ",
Telos Impact,https://www.telosimpact.com/,https://www.linkedin.com/company/telos-impact,,"17 rue Vilain XIIII, Brussels, Belgium ","Austria,Belgium,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Netherlands,Norway,Poland,Portugal,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Israel","3. Early Revenue,4. Scaling,5. Growth","We invest in impactful European startups with €1M+ annual revenues solving issues on water, food & plastic pollution.",VC,"$1,000,000 ",
Wavelaunch VC,https://wavelaunch.org/,https://www.linkedin.com/company/wavelaunch,,"Office 211, Sector 27, Gurugram, Haryana, India PIN - 122009","India,Germany,USA,UK,UAE,New Zealand,Netherlands,Sweden,Switzerland,South Korea,Australia","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in founders and entrepreneurs who are just getting started; whether it’s pre-seed, seed, or Series A. We prefer to invest in finance, education, healthcare, space innovation, and consumer-centric startups.",VC,"$25,000 ",
Bahman Capital,http://bahmancapital.com/,https://www.linkedin.com/company/bahmancapital,,"Sharif University innovation zone, Tehran",Iran,"3. Early Revenue,2. Prototype,4. Scaling",We invest in software innovative solutions and industrial hightech initiatives. ,VC,"$20,000 ",
Burda Principal Investments,http://www.burdaprincipalinvestments.com/,https://www.linkedin.com/company/burda-principal-investments/,,"Arabellastraße 23, Munich, 81925, DE","USA,Indonesia,Philippines,Singapore,Thailand,Vietnam,France,Germany,Lithuania,UK",,,Corporate VC,"$5,000,000 ",
Cell Capital,https://cellcap.co/,https://www.linkedin.com/company/cell-capital-partners/,,"1 Connaught Place, London, England W2 2ET, GB","Austria,France,Spain,Portugal,Italy,Germany,Switzerland,Belgium,Netherlands,Israel,Denmark,Sweden,Finland,Norway,Ireland,UK",3. Early Revenue,"We invest in European early technologies, particularly in Agrifood, sustainability, future of work, and generalist thesis. Our ticket sizes range from $100k to $3m.  ",VC,"$100,000 ",
Giant Leap Fund,https://giantleap.com.au,https://www.linkedin.com/company/giantleap-vc/,,"Melbourne, Australia",Australia,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth",,VC,"$100,000 ",
